Domain,Have_IP,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
geocities.com,0,0,2,0,0,0,0,1,1,1,0,1,1,1,0
google.com,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0
figma.com,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
bing.com,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
google.com,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
microsoft.com,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
three-musketeers.net,0,0,2,0,0,0,1,1,1,1,0,1,1,0,0
godaddy.com,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0
office.com,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
linkedin.com,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
unilorin.edu.ng,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
genome.gov,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
,0,0,2,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
